visibility,category,subCategory,type,backgroundImage,title,origin,tagline,desc,fullDesc,metrics,image,chefSpecial,vegan,peanutAllergy
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Karol Bagh Aloo Tikki,Vegetarian,,"Stuffed potato patties, topped with whipped yogurt, and chutneys.","Crispy stuffed potato patties topped with white peas, a dollop of whipped yogurt, and a drizzle of tangy chutneys.",120Gms | 102Kcal | $14,./assets/img/modal-images/food-menu/karol-bagh-aloo-tikki.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Palak Patta Chaat,Vegetarian,,"Crispy fried spinach leaves tossed with spices, yogurt, and chutneys.","Crispy fried spinach leaves drizzled with yogurt and spicy chutneys, creating a delightful contrast of flavors.",160Gms | 198Kcal | $14,./assets/img/modal-images/food-menu/palak-patta-chaat.jpg,FALSE,TRUE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Truffle Malai Broccoli,Vegetarian,,"Tender broccoli in a mixture of cream and spices, char-grilled, cranberry & ginger launji.","Tender broccoli cooked in a creamy mixture, char-grilled to perfection, served with a cranberry and ginger sauce for a gourmet touch.",250Gms | 283Kcal | $18,./assets/img/modal-images/food-menu/malai-brocolli-tikka.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Tandoori Lobster,Non-Vegetarian,,"Lobster tail, marinated with spices, char-grilled, pineapple & green chili chutney.","Jumbo freshwater prawns marinated in a blend of aromatic spices and char-grilled, served with a refreshing pineapple and green chili chutney.",250Gms | 415Kcal | $34,./assets/img/modal-images/food-menu/tandoori-prawns.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Chandi Tikka,Non-Vegetarian,,"Creamy chicken kebabs marinated in cream and spices, char-grilled, adorned with silver leaf, garlic chutney.","Creamy chicken kebabs marinated in rich cream and spices, char-grilled and served with a flavorful garlic chutney.",260Gms | 729Kcal | $22,./assets/img/modal-images/food-menu/chicken-malai-tikka.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Tandoori Lamb Chops,Non-Vegetarian,,"Flavorful and marinated lamb chops char-grilled to perfection, pineapple & green chili chutney.","Juicy lamb chops marinated in aromatic spices, char-grilled to perfection, and served with a refreshing pineapple and green chili chutney.",260Gms | 804Kcal | $35,./assets/img/modal-images/food-menu/tandoori-lamb-chops.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Purani Dilli Chole Bhature,Vegetarian,,A semi-dry specialty preparation of spicy chickpea served with leavened deep-fried bread.,"A classic combination of spicy chickpeas served with fluffy bhature, a popular dish from Old Delhi.",675 Kcal | 320g | $18,./assets/img/modal-images/food-menu/purani-dilli-chole-bhature.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Basil Paneer Rarah,Vegetarian,,"Cottage cheese cubes simmered in onion-tomato masala gravy, flavored with basil.","Tender cottage cheese cubes cooked in a savory onion-tomato masala, infused with aromatic basil for a delightful flavor.",460Gms | 955Kcal | $26,./assets/img/modal-images/food-menu/basil-paneer-rarah.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Fenugreek Cashew Curry,Vegetarian,,Fenugreek leaves and green peas simmered in creamy nuts gravy with cashew nuts and lotus seeds.,"A delightful dish of fenugreek leaves and green peas cooked in a rich, creamy cashew gravy, seasoned with aromatic spices.",460Gms | 960Kcal | $26,./assets/img/modal-images/food-menu/kaju-methi-malai-matar.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,The Delhi Lounge Dal Makhani,Vegetarian,,"24 hour slow cooked black lentils, finished with fresh cream and butter.","Rich and creamy black lentils slow-cooked for 24 hours, finished with a generous amount of fresh cream and butter for an indulgent taste.",340Gms | 710Kcal | $22,./assets/img/modal-images/food-menu/delhi-lounge-dal-makhani.jpg,FALSE,FALSE,FALSE
FALSE,Signature Cuisine,Signature Cuisine,,../assets/img/menu-images/pageg.jpg,Chilean Sea Bass Coconut Curry,Non-Vegetarian,,"Chilean Sea Bass delicately simmered in a coconut broth, tempered with mustard seeds.","Delicate Chilian Sea Bass cooked to perfection in a creamy coconut broth, enhanced with the richness of mustard seeds, offering a comforting and flavorful dish.",440Gms | 1360Kcal | $28,./assets/img/modal-images/food-menu/chilian-sea-bass-coconut-curry.jpg,FALSE,FALSE,FALSE
